intent,response
request_supplies,We’re sending basic supplies. Hang in there.
damage_report,We’ve logged your report for quick action.
missing_person,We’ve logged the missing person report.
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,We’re sending basic supplies. Hang in there.
power_failure,"Power should be restored soon, stay patient."
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,We’re sending basic supplies. Hang in there.
request_information,Please check the official website for live updates.
missing_person,Authorities have been informed and are tracking the case.
missing_person,Authorities have been informed and are tracking the case.
request_medical_aid,A doctor team is on the way. Stay stable.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_supplies,Food and water are being arranged.
request_supplies,Food and water are being arranged.
request_information,Please check the official website for live updates.
evacuation_request,Your location is being reviewed for evacuation support.
evacuation_request,Evacuation orders are being sent. Stay alert.
damage_report,We’ve logged your report for quick action.
damage_report,We’ve logged your report for quick action.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,"Help is coming, please keep your phone available for updates."
evacuation_request,"Evacuation is being coordinated, follow instructions."
missing_person,We’ve logged the missing person report.
request_information,Please check the official website for live updates.
request_supplies,Food and water are being arranged.
request_medical_aid,A doctor team is on the way. Stay stable.
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,Rescuers are on the way. Stay in a safe place.
damage_report,We’ve logged your report for quick action.
request_rescue,Rescuers are on the way. Stay in a safe place.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_information,Contact local relief control rooms for latest info.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_information,Refer to your district disaster control number for details.
request_rescue,Rescuers are on the way. Stay in a safe place.
power_failure,Repair work is in progress to restore power.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,Rescuers are on the way. Stay in a safe place.
missing_person,Our search team is looking into it.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,A doctor team is on the way. Stay stable.
request_medical_aid,A doctor team is on the way. Stay stable.
power_failure,Repair work is in progress to restore power.
damage_report,Thank you. Damage team will assess and respond.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,Your location is being reviewed for evacuation support.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,A doctor team is on the way. Stay stable.
damage_report,We’ve logged your report for quick action.
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,We’re sending basic supplies. Hang in there.
request_information,Please check the official website for live updates.
power_failure,"Power should be restored soon, stay patient."
evacuation_request,Your location is being reviewed for evacuation support.
request_information,Refer to your district disaster control number for details.
request_rescue,Rescuers are on the way. Stay in a safe place.
missing_person,Our search team is looking into it.
missing_person,Authorities have been informed and are tracking the case.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,Food and water are being arranged.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,Rescue team is being dispatched. Stay calm.
power_failure,Repair work is in progress to restore power.
damage_report,Thank you. Damage team will assess and respond.
evacuation_request,Your location is being reviewed for evacuation support.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_supplies,Relief supplies are en route to your area.
request_information,Please check the official website for live updates.
request_supplies,Relief supplies are en route to your area.
missing_person,Authorities have been informed and are tracking the case.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,Electricity board is addressing the failure.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,We’ve logged the missing person report.
request_rescue,"Help is coming, please keep your phone available for updates."
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,Electricity board is addressing the failure.
request_rescue,Rescuers are on the way. Stay in a safe place.
missing_person,Our search team is looking into it.
request_medical_aid,Medical assistance is being sent. Avoid moving.
power_failure,Electricity board is addressing the failure.
missing_person,We’ve logged the missing person report.
request_medical_aid,Medical assistance is being sent. Avoid moving.
power_failure,"Power should be restored soon, stay patient."
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,A doctor team is on the way. Stay stable.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_supplies,Food and water are being arranged.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,Relief supplies are en route to your area.
missing_person,Our search team is looking into it.
evacuation_request,Evacuation orders are being sent. Stay alert.
missing_person,Our search team is looking into it.
missing_person,Our search team is looking into it.
missing_person,We’ve logged the missing person report.
power_failure,Electricity board is addressing the failure.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,We’ve logged the missing person report.
request_supplies,We’re sending basic supplies. Hang in there.
power_failure,Repair work is in progress to restore power.
power_failure,"Power should be restored soon, stay patient."
missing_person,We’ve logged the missing person report.
evacuation_request,Your location is being reviewed for evacuation support.
request_rescue,Rescue team is being dispatched. Stay calm.
power_failure,Repair work is in progress to restore power.
request_medical_aid,Medical assistance is being sent. Avoid moving.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,Authorities have been informed and are tracking the case.
missing_person,Authorities have been informed and are tracking the case.
request_medical_aid,Medical assistance is being sent. Avoid moving.
evacuation_request,Evacuation orders are being sent. Stay alert.
missing_person,We’ve logged the missing person report.
power_failure,Electricity board is addressing the failure.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,A doctor team is on the way. Stay stable.
request_information,Please check the official website for live updates.
power_failure,Repair work is in progress to restore power.
request_supplies,We’re sending basic supplies. Hang in there.
request_supplies,Food and water are being arranged.
missing_person,We’ve logged the missing person report.
request_rescue,Rescuers are on the way. Stay in a safe place.
missing_person,Our search team is looking into it.
power_failure,Repair work is in progress to restore power.
missing_person,We’ve logged the missing person report.
power_failure,Repair work is in progress to restore power.
missing_person,Authorities have been informed and are tracking the case.
power_failure,Electricity board is addressing the failure.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_supplies,Relief supplies are en route to your area.
request_medical_aid,Medical assistance is being sent. Avoid moving.
power_failure,"Power should be restored soon, stay patient."
missing_person,Authorities have been informed and are tracking the case.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,We’ve logged the missing person report.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,Rescue team is being dispatched. Stay calm.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,"Help is coming, please keep your phone available for updates."
missing_person,Our search team is looking into it.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,Food and water are being arranged.
missing_person,We’ve logged the missing person report.
missing_person,Authorities have been informed and are tracking the case.
request_supplies,Food and water are being arranged.
power_failure,Repair work is in progress to restore power.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,Rescue team is being dispatched. Stay calm.
power_failure,Repair work is in progress to restore power.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,Rescue team is being dispatched. Stay calm.
request_rescue,Rescuers are on the way. Stay in a safe place.
power_failure,"Power should be restored soon, stay patient."
missing_person,Our search team is looking into it.
power_failure,Repair work is in progress to restore power.
request_medical_aid,A doctor team is on the way. Stay stable.
damage_report,Our engineers are being notified to assess the damage.
request_rescue,Rescue team is being dispatched. Stay calm.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,Food and water are being arranged.
power_failure,Electricity board is addressing the failure.
request_information,Refer to your district disaster control number for details.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_medical_aid,Medical assistance is being sent. Avoid moving.
missing_person,Our search team is looking into it.
power_failure,Electricity board is addressing the failure.
power_failure,Repair work is in progress to restore power.
request_medical_aid,Medical assistance is being sent. Avoid moving.
power_failure,Repair work is in progress to restore power.
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,Repair work is in progress to restore power.
request_supplies,Food and water are being arranged.
request_rescue,Rescue team is being dispatched. Stay calm.
damage_report,Thank you. Damage team will assess and respond.
power_failure,Electricity board is addressing the failure.
power_failure,Electricity board is addressing the failure.
power_failure,Repair work is in progress to restore power.
request_rescue,Rescuers are on the way. Stay in a safe place.
damage_report,We’ve logged your report for quick action.
missing_person,Our search team is looking into it.
missing_person,Authorities have been informed and are tracking the case.
request_rescue,"Help is coming, please keep your phone available for updates."
missing_person,Authorities have been informed and are tracking the case.
request_information,Refer to your district disaster control number for details.
request_information,Please check the official website for live updates.
request_medical_aid,A doctor team is on the way. Stay stable.
damage_report,Our engineers are being notified to assess the damage.
evacuation_request,"Evacuation is being coordinated, follow instructions."
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,Electricity board is addressing the failure.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_information,Refer to your district disaster control number for details.
request_supplies,We’re sending basic supplies. Hang in there.
missing_person,We’ve logged the missing person report.
request_rescue,Rescue team is being dispatched. Stay calm.
request_medical_aid,Medical assistance is being sent. Avoid moving.
damage_report,Thank you. Damage team will assess and respond.
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,Our search team is looking into it.
request_supplies,We’re sending basic supplies. Hang in there.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,Rescuers are on the way. Stay in a safe place.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_information,Contact local relief control rooms for latest info.
request_medical_aid,A doctor team is on the way. Stay stable.
evacuation_request,Your location is being reviewed for evacuation support.
request_medical_aid,A doctor team is on the way. Stay stable.
request_medical_aid,Medical assistance is being sent. Avoid moving.
power_failure,Electricity board is addressing the failure.
request_supplies,We’re sending basic supplies. Hang in there.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,Evacuation orders are being sent. Stay alert.
missing_person,We’ve logged the missing person report.
request_rescue,"Help is coming, please keep your phone available for updates."
power_failure,Electricity board is addressing the failure.
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_rescue,Rescue team is being dispatched. Stay calm.
request_medical_aid,Medical assistance is being sent. Avoid moving.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_supplies,Food and water are being arranged.
missing_person,Our search team is looking into it.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,We’ve informed the medical unit. Hold tight.
power_failure,"Power should be restored soon, stay patient."
power_failure,Electricity board is addressing the failure.
missing_person,We’ve logged the missing person report.
power_failure,Electricity board is addressing the failure.
request_supplies,We’re sending basic supplies. Hang in there.
damage_report,Thank you. Damage team will assess and respond.
power_failure,Electricity board is addressing the failure.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_information,Please check the official website for live updates.
evacuation_request,Your location is being reviewed for evacuation support.
request_supplies,Relief supplies are en route to your area.
missing_person,Our search team is looking into it.
request_supplies,We’re sending basic supplies. Hang in there.
missing_person,Our search team is looking into it.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,A doctor team is on the way. Stay stable.
damage_report,We’ve logged your report for quick action.
missing_person,We’ve logged the missing person report.
evacuation_request,Your location is being reviewed for evacuation support.
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,Food and water are being arranged.
missing_person,We’ve logged the missing person report.
damage_report,We’ve logged your report for quick action.
request_information,Contact local relief control rooms for latest info.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,"Power should be restored soon, stay patient."
power_failure,Electricity board is addressing the failure.
request_supplies,Food and water are being arranged.
request_rescue,Rescuers are on the way. Stay in a safe place.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,"Power should be restored soon, stay patient."
request_rescue,"Help is coming, please keep your phone available for updates."
evacuation_request,Evacuation orders are being sent. Stay alert.
request_supplies,Food and water are being arranged.
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,"Power should be restored soon, stay patient."
power_failure,Electricity board is addressing the failure.
missing_person,We’ve logged the missing person report.
damage_report,Thank you. Damage team will assess and respond.
request_supplies,Relief supplies are en route to your area.
request_rescue,"Help is coming, please keep your phone available for updates."
power_failure,"Power should be restored soon, stay patient."
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,We’ve logged the missing person report.
power_failure,"Power should be restored soon, stay patient."
evacuation_request,Evacuation orders are being sent. Stay alert.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,Food and water are being arranged.
power_failure,Repair work is in progress to restore power.
request_information,Contact local relief control rooms for latest info.
request_medical_aid,A doctor team is on the way. Stay stable.
request_information,Contact local relief control rooms for latest info.
power_failure,Electricity board is addressing the failure.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,We’ve logged the missing person report.
request_rescue,Rescue team is being dispatched. Stay calm.
power_failure,Electricity board is addressing the failure.
power_failure,Repair work is in progress to restore power.
damage_report,Thank you. Damage team will assess and respond.
missing_person,Authorities have been informed and are tracking the case.
request_supplies,Relief supplies are en route to your area.
missing_person,Our search team is looking into it.
power_failure,Repair work is in progress to restore power.
request_rescue,"Help is coming, please keep your phone available for updates."
evacuation_request,Your location is being reviewed for evacuation support.
request_medical_aid,Medical assistance is being sent. Avoid moving.
missing_person,Our search team is looking into it.
request_medical_aid,A doctor team is on the way. Stay stable.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,Relief supplies are en route to your area.
power_failure,"Power should be restored soon, stay patient."
request_rescue,"Help is coming, please keep your phone available for updates."
missing_person,We’ve logged the missing person report.
power_failure,"Power should be restored soon, stay patient."
evacuation_request,Evacuation orders are being sent. Stay alert.
request_supplies,Food and water are being arranged.
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,Our search team is looking into it.
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,Our search team is looking into it.
request_rescue,Rescue team is being dispatched. Stay calm.
missing_person,Our search team is looking into it.
request_rescue,"Help is coming, please keep your phone available for updates."
power_failure,Electricity board is addressing the failure.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,Rescue team is being dispatched. Stay calm.
request_rescue,Rescuers are on the way. Stay in a safe place.
missing_person,We’ve logged the missing person report.
request_medical_aid,We’ve informed the medical unit. Hold tight.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_information,Please check the official website for live updates.
power_failure,Electricity board is addressing the failure.
request_rescue,Rescue team is being dispatched. Stay calm.
missing_person,Our search team is looking into it.
request_medical_aid,A doctor team is on the way. Stay stable.
evacuation_request,Evacuation orders are being sent. Stay alert.
power_failure,Electricity board is addressing the failure.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_supplies,We’re sending basic supplies. Hang in there.
request_supplies,Food and water are being arranged.
missing_person,We’ve logged the missing person report.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,A doctor team is on the way. Stay stable.
damage_report,Our engineers are being notified to assess the damage.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,Relief supplies are en route to your area.
request_rescue,"Help is coming, please keep your phone available for updates."
missing_person,Authorities have been informed and are tracking the case.
power_failure,"Power should be restored soon, stay patient."
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_supplies,Relief supplies are en route to your area.
missing_person,Our search team is looking into it.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,Evacuation orders are being sent. Stay alert.
power_failure,Electricity board is addressing the failure.
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,We’re sending basic supplies. Hang in there.
request_information,Please check the official website for live updates.
request_information,Refer to your district disaster control number for details.
request_supplies,Relief supplies are en route to your area.
missing_person,Our search team is looking into it.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,"Evacuation is being coordinated, follow instructions."
missing_person,We’ve logged the missing person report.
power_failure,Repair work is in progress to restore power.
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,Relief supplies are en route to your area.
power_failure,"Power should be restored soon, stay patient."
missing_person,Our search team is looking into it.
damage_report,Thank you. Damage team will assess and respond.
evacuation_request,"Evacuation is being coordinated, follow instructions."
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_supplies,Relief supplies are en route to your area.
request_rescue,Rescuers are on the way. Stay in a safe place.
missing_person,We’ve logged the missing person report.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,Your location is being reviewed for evacuation support.
missing_person,We’ve logged the missing person report.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_supplies,Relief supplies are en route to your area.
damage_report,We’ve logged your report for quick action.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,Medical assistance is being sent. Avoid moving.
missing_person,We’ve logged the missing person report.
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,Electricity board is addressing the failure.
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_supplies,We’re sending basic supplies. Hang in there.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,Repair work is in progress to restore power.
power_failure,Electricity board is addressing the failure.
request_rescue,Rescuers are on the way. Stay in a safe place.
power_failure,Electricity board is addressing the failure.
request_information,Contact local relief control rooms for latest info.
request_information,Please check the official website for live updates.
evacuation_request,Your location is being reviewed for evacuation support.
damage_report,We’ve logged your report for quick action.
missing_person,We’ve logged the missing person report.
request_supplies,Food and water are being arranged.
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,Our search team is looking into it.
request_supplies,Relief supplies are en route to your area.
request_rescue,Rescue team is being dispatched. Stay calm.
request_medical_aid,We’ve informed the medical unit. Hold tight.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_medical_aid,We’ve informed the medical unit. Hold tight.
evacuation_request,Evacuation orders are being sent. Stay alert.
power_failure,"Power should be restored soon, stay patient."
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,Rescue team is being dispatched. Stay calm.
request_rescue,Rescue team is being dispatched. Stay calm.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,Rescue team is being dispatched. Stay calm.
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,We’ve logged the missing person report.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,A doctor team is on the way. Stay stable.
request_information,Please check the official website for live updates.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,We’re sending basic supplies. Hang in there.
power_failure,Repair work is in progress to restore power.
power_failure,Repair work is in progress to restore power.
power_failure,Electricity board is addressing the failure.
request_medical_aid,We’ve informed the medical unit. Hold tight.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,Your location is being reviewed for evacuation support.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,A doctor team is on the way. Stay stable.
damage_report,We’ve logged your report for quick action.
power_failure,Repair work is in progress to restore power.
request_medical_aid,A doctor team is on the way. Stay stable.
request_medical_aid,A doctor team is on the way. Stay stable.
power_failure,"Power should be restored soon, stay patient."
power_failure,Electricity board is addressing the failure.
missing_person,Authorities have been informed and are tracking the case.
request_supplies,We’re sending basic supplies. Hang in there.
missing_person,We’ve logged the missing person report.
request_information,Contact local relief control rooms for latest info.
request_information,Please check the official website for live updates.
power_failure,"Power should be restored soon, stay patient."
missing_person,Authorities have been informed and are tracking the case.
missing_person,Authorities have been informed and are tracking the case.
damage_report,Our engineers are being notified to assess the damage.
missing_person,Our search team is looking into it.
missing_person,Authorities have been informed and are tracking the case.
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,We’ve logged the missing person report.
request_rescue,Rescuers are on the way. Stay in a safe place.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,Electricity board is addressing the failure.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,Rescuers are on the way. Stay in a safe place.
power_failure,Electricity board is addressing the failure.
power_failure,"Power should be restored soon, stay patient."
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,A doctor team is on the way. Stay stable.
request_supplies,We’re sending basic supplies. Hang in there.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,Rescue team is being dispatched. Stay calm.
request_medical_aid,We’ve informed the medical unit. Hold tight.
power_failure,Electricity board is addressing the failure.
evacuation_request,Your location is being reviewed for evacuation support.
missing_person,We’ve logged the missing person report.
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,We’ve logged the missing person report.
evacuation_request,Evacuation orders are being sent. Stay alert.
missing_person,Our search team is looking into it.
request_medical_aid,We’ve informed the medical unit. Hold tight.
missing_person,Authorities have been informed and are tracking the case.
request_supplies,Relief supplies are en route to your area.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,We’ve informed the medical unit. Hold tight.
damage_report,Thank you. Damage team will assess and respond.
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,"Power should be restored soon, stay patient."
power_failure,"Power should be restored soon, stay patient."
request_supplies,We’re sending basic supplies. Hang in there.
request_rescue,"Help is coming, please keep your phone available for updates."
missing_person,Authorities have been informed and are tracking the case.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,Food and water are being arranged.
request_information,Please check the official website for live updates.
missing_person,We’ve logged the missing person report.
request_rescue,"Help is coming, please keep your phone available for updates."
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_rescue,Rescuers are on the way. Stay in a safe place.
evacuation_request,"Evacuation is being coordinated, follow instructions."
power_failure,Electricity board is addressing the failure.
request_rescue,"Help is coming, please keep your phone available for updates."
evacuation_request,Evacuation orders are being sent. Stay alert.
missing_person,Our search team is looking into it.
request_supplies,Relief supplies are en route to your area.
request_medical_aid,A doctor team is on the way. Stay stable.
power_failure,Repair work is in progress to restore power.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_rescue,"Help is coming, please keep your phone available for updates."
request_medical_aid,A doctor team is on the way. Stay stable.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,Repair work is in progress to restore power.
evacuation_request,"Evacuation is being coordinated, follow instructions."
missing_person,Our search team is looking into it.
request_supplies,Relief supplies are en route to your area.
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,We’ve informed the medical unit. Hold tight.
damage_report,Thank you. Damage team will assess and respond.
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,Food and water are being arranged.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_information,Refer to your district disaster control number for details.
request_supplies,Food and water are being arranged.
power_failure,Electricity board is addressing the failure.
damage_report,Our engineers are being notified to assess the damage.
power_failure,"Power should be restored soon, stay patient."
missing_person,We’ve logged the missing person report.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_information,Please check the official website for live updates.
power_failure,Electricity board is addressing the failure.
request_supplies,Relief supplies are en route to your area.
missing_person,Authorities have been informed and are tracking the case.
evacuation_request,Evacuation orders are being sent. Stay alert.
damage_report,We’ve logged your report for quick action.
evacuation_request,Evacuation orders are being sent. Stay alert.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_rescue,"Help is coming, please keep your phone available for updates."
request_rescue,Rescue team is being dispatched. Stay calm.
request_supplies,Relief supplies are en route to your area.
request_medical_aid,A doctor team is on the way. Stay stable.
missing_person,Our search team is looking into it.
power_failure,"Power should be restored soon, stay patient."
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_supplies,Food and water are being arranged.
request_medical_aid,Medical assistance is being sent. Avoid moving.
power_failure,"Power should be restored soon, stay patient."
request_rescue,Rescuers are on the way. Stay in a safe place.
request_medical_aid,We’ve informed the medical unit. Hold tight.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_rescue,Rescue team is being dispatched. Stay calm.
evacuation_request,"Evacuation is being coordinated, follow instructions."
request_information,Contact local relief control rooms for latest info.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,Repair work is in progress to restore power.
request_supplies,We’re sending basic supplies. Hang in there.
request_supplies,We’re sending basic supplies. Hang in there.
power_failure,Repair work is in progress to restore power.
request_supplies,Food and water are being arranged.
power_failure,Electricity board is addressing the failure.
request_rescue,"Help is coming, please keep your phone available for updates."
request_information,Refer to your district disaster control number for details.
power_failure,Repair work is in progress to restore power.
request_information,Please check the official website for live updates.
damage_report,Thank you. Damage team will assess and respond.
evacuation_request,Your location is being reviewed for evacuation support.
power_failure,Repair work is in progress to restore power.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,We’ve informed the medical unit. Hold tight.
request_supplies,Relief supplies are en route to your area.
request_supplies,We’re sending basic supplies. Hang in there.
request_supplies,Food and water are being arranged.
damage_report,We’ve logged your report for quick action.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,Rescuers are on the way. Stay in a safe place.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,Relief supplies are en route to your area.
request_rescue,"Help is coming, please keep your phone available for updates."
request_supplies,Food and water are being arranged.
missing_person,Authorities have been informed and are tracking the case.
damage_report,Thank you. Damage team will assess and respond.
missing_person,We’ve logged the missing person report.
request_medical_aid,Medical assistance is being sent. Avoid moving.
request_medical_aid,A doctor team is on the way. Stay stable.
power_failure,Electricity board is addressing the failure.
power_failure,Repair work is in progress to restore power.
